"name (S)","cuisine (S)","loc_src (S)"
"Hopdoddy","Burgers","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d221778.58938875044!2d-95.54817270871095!3d29.711344517047056!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x37d4acd9cfcc94fc!2sHopdoddy+Burger+Bar!5e0!3m2!1sen!2sus!4v1532699043246"
"House of Pies","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d65938.71899657213!2d-95.42681856511119!3d29.705938420968987!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x6312e8c0d39077e8!2sHouse+of+Pies!5e0!3m2!1sen!2sus!4v1532699076106"
"Houston's","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55436.87409684459!2d-95.46132204803945!3d29.725417967170117!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x41d977aa85b0c870!2sHouston's!5e0!3m2!1sen!2sus!4v1532696254752"
"Hu's Garden","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3466.586942818163!2d-95.46102688425245!3d29.673758342941667!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640ea0a8a1adead%3A0x21a45f3a2dfd8061!2zSHXigJlzIEdhcmRlbg!5e0!3m2!1sen!2sus!4v1532699113242"
"Hunan Hut","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3466.586942818163!2d-95.46102688425245!3d29.673758342941667!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640ea0a8a1adead%3A0x21a45f3a2dfd8061!2zSHXigJlzIEdhcmRlbg!5e0!3m2!1sen!2sus!4v1532699113242"
"Hungry Farmer","BBQ","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d221845.2820981554!2d-95.56373029962867!3d29.681137319818262!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x7fc6d697ce0cd76e!2sHungry+Farmer+BBQ!5e0!3m2!1sen!2sus!4v1532699259075"
"Hunters Pub","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3466.8433296320386!2d-95.46497058425246!3d29.66632034328917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640ea0e15f14323%3A0xae70a0652b8dd53c!2sHunters+Pub!5e0!3m2!1sen!2sus!4v1532699352107"
"Jack-In-The-Box","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27732.555447331953!2d-95.45471392390898!3d29.674266316283475!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x97e9b89135180479!2sJack+in+the+Box!5e0!3m2!1sen!2sus!4v1532699388860"
"Jimmy John's","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110930.03769627155!2d-95.50724394134278!3d29.6744331910043!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x78d1c230ceeb3d7!2sJimmy+John's!5e0!3m2!1sen!2sus!4v1532699419717"
"Jimmy Wok","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3465.4364719567875!2d-95.41442768425202!3d29.70711364138251!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c06bc0d529d3%3A0x6e018950a4d57593!2sJimmy+Wok!5e0!3m2!1sen!2sus!4v1532699456788"
